City,Cloudiness,Country,Date,Humidity,Lat,Lng,Temp,Wind
Ribeira Grande,100,PT,1604974313,86,38.52,-28.7,64.24,12.62
Pevek,0,RU,1604974313,94,69.7,170.31,17.46,8.59
Luís Correia,3,BR,1604974335,76,-2.88,-41.67,81.16,14.05
Carutapera,98,BR,1604974335,87,-1.2,-46.02,78.46,4.85
Dakoro,36,NE,1604974335,27,14.51,6.76,70.9,9.01
Waitati,30,NZ,1604974335,64,-45.75,170.57,55.0,11.01
Cabo San Lucas,5,MX,1604974336,64,22.89,-109.91,77.0,10.29
Bengkulu,89,ID,1604974336,65,-3.8,102.27,83.93,1.66
Tuktoyaktuk,90,CA,1604974336,84,69.45,-133.04,-0.4,13.87
Longyearbyen,75,SJ,1604974337,67,78.22,15.64,23.0,17.22
Castro,99,BR,1604974243,94,-24.79,-50.01,61.38,9.78
Morococha,83,PE,1604974337,72,-11.6,-76.14,41.7,1.97
Nabire,11,ID,1604974338,65,-3.37,135.48,86.4,6.4
Balaipungut,40,ID,1604974338,88,1.05,101.28,77.0,5.82
Vila Velha,20,BR,1604974338,78,-20.33,-40.29,77.0,9.17
Hermanus,38,ZA,1604974339,92,-34.42,19.23,46.99,9.71
Belle Fourche,1,US,1604974339,72,44.67,-103.85,23.0,1.72
Atuona,39,PF,1604974203,68,-9.8,-139.03,78.44,10.29
Bluff,0,NZ,1604974340,69,-46.6,168.33,61.0,7.0
Hilo,90,US,1604974340,65,19.73,-155.09,82.4,6.93
Port Alfred,100,ZA,1604974340,72,-33.59,26.89,59.23,9.64
Mar del Plata,0,AR,1604974179,82,-38.0,-57.56,64.0,6.93
Bethel,1,US,1604974341,76,41.37,-73.41,57.0,2.01
Khatanga,100,RU,1604974341,96,71.97,102.5,12.85,12.24
Olafsvik,65,IS,1604974342,66,64.89,-23.71,43.12,21.05
Weyburn,0,CA,1604974342,84,49.67,-103.85,5.0,5.55
Praia da Vitória,75,PT,1604974342,93,38.73,-27.07,64.4,24.47
Porto-Novo,40,BJ,1604974364,83,6.5,2.6,82.4,8.05
Najrān,0,SA,1604974240,39,17.49,44.13,62.6,0.98
Ngunguru,100,NZ,1604974365,75,-35.62,174.5,64.99,10.0
Rikitea,2,PF,1604974365,79,-23.12,-134.97,73.98,14.94
Sakaiminato,75,JP,1604974366,58,35.55,133.23,57.2,6.93
Barrow,90,US,1604974366,78,71.29,-156.79,8.6,9.17
Albany,20,US,1604974366,81,42.6,-73.97,53.01,1.48
New Norfolk,4,AU,1604974367,20,-42.78,147.06,82.99,1.99
Camaná,88,PE,1604974367,73,-16.62,-72.71,63.84,3.94
Grand Island,90,US,1604974367,77,40.92,-98.34,32.0,17.22
Balgazyn,0,RU,1604974368,91,51.0,95.2,31.03,2.28
Petropavlovsk-Kamchatskiy,100,RU,1604974368,55,53.05,158.65,33.8,4.47
Wormeldange,6,LU,1604974368,100,49.61,6.41,48.2,1.12
Misawa,75,JP,1604974369,65,40.68,141.36,37.4,16.11
Waiouru,96,NZ,1604974369,92,-39.48,175.67,53.56,3.96
Kumul,54,CN,1604974370,55,42.8,93.45,41.54,9.37
Marsh Harbour,41,BS,1604974370,81,26.54,-77.06,80.04,27.09
Bourail,100,NC,1604974370,53,-21.57,165.48,77.61,14.79
Punta Arenas,75,CL,1604974372,87,-53.15,-70.92,44.6,11.41
Misratah,56,LY,1604974372,60,32.38,15.09,67.95,9.04
Kahului,40,US,1604974372,46,20.89,-156.47,89.6,21.92
Ancud,1,CL,1604974373,71,-41.87,-73.82,54.0,9.17
Rantepao,67,ID,1604974373,57,-2.97,119.9,80.94,4.56
Qaanaaq,0,GL,1604974373,66,77.48,-69.36,-5.12,7.09
Butaritari,0,KI,1604974373,66,3.07,172.79,83.3,5.64
Port Blair,1,IN,1604974374,75,11.67,92.75,82.78,15.93
Mataura,0,NZ,1604974374,69,-46.19,168.86,61.0,7.0
Tura,0,IN,1604974374,76,25.52,90.22,71.01,2.06
Saint George,20,US,1604974375,60,37.1,-113.58,44.01,4.7
Half Moon Bay,1,US,1604974396,61,37.46,-122.43,51.8,9.17
Isla Mujeres,75,MX,1604974397,83,21.23,-86.73,78.8,5.82
Faanui,100,PF,1604974397,79,-16.48,-151.75,79.27,14.58
São João da Barra,96,BR,1604974397,90,-21.64,-41.05,74.3,12.75
Vaini,40,TO,1604974398,78,-21.2,-175.2,80.6,9.17
East London,100,ZA,1604974398,78,-33.02,27.91,59.59,10.51
Ponta Delgada,75,PT,1604974398,82,37.73,-25.67,66.2,16.11
Mbuji-Mayi,91,CD,1604974399,95,-6.15,23.6,67.5,4.59
Upernavik,97,GL,1604974399,83,72.79,-56.15,1.89,8.93
Gonder,0,ET,1604974399,47,12.6,37.47,55.76,5.32
Busselton,0,AU,1604974400,98,-33.65,115.33,62.01,21.12
Haines Junction,100,CA,1604974400,54,60.75,-137.51,30.2,11.41
Eyl,5,SO,1604974400,80,7.98,49.82,76.33,12.24
Yambio,49,SS,1604974401,92,4.57,28.4,67.26,1.68
Tasiilaq,100,GL,1604974401,98,65.61,-37.64,31.75,29.12
Hobart,0,AU,1604974401,38,-42.88,147.33,82.99,9.17
Bentiu,0,SS,1604974402,37,9.23,29.83,72.95,3.74
Pontianak,97,ID,1604974402,74,-0.03,109.33,83.48,2.91
Itarema,7,BR,1604974402,82,-2.92,-39.92,79.52,11.61
Hithadhoo,100,MV,1604974406,84,-0.6,73.08,80.83,26.26
Matara,85,LK,1604974406,81,5.95,80.54,79.65,5.46
Ushuaia,40,AR,1604974407,65,-54.8,-68.3,44.6,40.26
Yakima,90,US,1604974365,48,46.47,-120.67,39.2,1.81
Chui,98,UY,1604974407,80,-33.7,-53.46,61.02,8.55
Mayahi,0,NE,1604974182,27,13.96,7.67,70.81,9.15
Hamilton,1,US,1604974408,77,39.18,-84.53,66.99,4.56
Araouane,0,ML,1604974408,18,18.9,-3.53,78.13,8.12
Carnarvon,91,AU,1604974408,37,-24.87,113.63,71.6,16.11
Tamandaré,5,BR,1604974409,85,-8.76,-35.1,76.53,10.83
Kapaa,90,US,1604974409,83,22.08,-159.32,80.6,17.22
Provideniya,75,RU,1604974232,93,64.38,-173.3,37.4,13.42
Kenai,40,US,1604974409,86,60.55,-151.26,34.0,6.93
Altay,96,CN,1604974410,79,47.87,88.12,28.76,3.24
